,data,taxa_selic,fator_diario
0,2023-07-21,13.65,1.00050788
1,2023-07-20,13.65,1.00050788
2,2023-07-19,13.65,1.00050788
3,2023-07-18,13.65,1.00050788
4,2023-07-17,13.65,1.00050788
5,2023-07-14,13.65,1.00050788
6,2023-07-13,13.65,1.00050788
7,2023-07-12,13.65,1.00050788
8,2023-07-11,13.65,1.00050788
9,2023-07-10,13.65,1.00050788
10,2023-07-07,13.65,1.00050788
11,2023-07-06,13.65,1.00050788
12,2023-07-05,13.65,1.00050788
13,2023-07-04,13.65,1.00050788
14,2023-07-03,13.65,1.00050788
15,2023-06-30,13.65,1.00050788
16,2023-06-29,13.65,1.00050788
17,2023-06-28,13.65,1.00050788
18,2023-06-27,13.65,1.00050788
19,2023-06-26,13.65,1.00050788
20,2023-06-23,13.65,1.00050788
21,2023-06-22,13.65,1.00050788
22,2023-06-21,13.65,1.00050788
23,2023-06-20,13.65,1.00050788
24,2023-06-19,13.65,1.00050788
25,2023-06-16,13.65,1.00050788
26,2023-06-15,13.65,1.00050788
27,2023-06-14,13.65,1.00050788
28,2023-06-13,13.65,1.00050788
29,2023-06-12,13.65,1.00050788
30,2023-06-09,13.65,1.00050788
31,2023-06-07,13.65,1.00050788
32,2023-06-06,13.65,1.00050788
33,2023-06-05,13.65,1.00050788
34,2023-06-02,13.65,1.00050788
35,2023-06-01,13.65,1.00050788
36,2023-05-31,13.65,1.00050788
37,2023-05-30,13.65,1.00050788
38,2023-05-29,13.65,1.00050788
39,2023-05-26,13.65,1.00050788
40,2023-05-25,13.65,1.00050788
41,2023-05-24,13.65,1.00050788
42,2023-05-23,13.65,1.00050788
43,2023-05-22,13.65,1.00050788
44,2023-05-19,13.65,1.00050788
45,2023-05-18,13.65,1.00050788
46,2023-05-17,13.65,1.00050788
47,2023-05-16,13.65,1.00050788
48,2023-05-15,13.65,1.00050788
49,2023-05-12,13.65,1.00050788
50,2023-05-11,13.65,1.00050788
51,2023-05-10,13.65,1.00050788
52,2023-05-09,13.65,1.00050788
53,2023-05-08,13.65,1.00050788
54,2023-05-05,13.65,1.00050788
55,2023-05-04,13.65,1.00050788
56,2023-05-03,13.65,1.00050788
57,2023-05-02,13.65,1.00050788
58,2023-04-28,13.65,1.00050788
59,2023-04-27,13.65,1.00050788
60,2023-04-26,13.65,1.00050788
61,2023-04-25,13.65,1.00050788
62,2023-04-24,13.65,1.00050788
63,2023-04-20,13.65,1.00050788
64,2023-04-19,13.65,1.00050788
65,2023-04-18,13.65,1.00050788
66,2023-04-17,13.65,1.00050788
67,2023-04-14,13.65,1.00050788
68,2023-04-13,13.65,1.00050788
69,2023-04-12,13.65,1.00050788
70,2023-04-11,13.65,1.00050788
71,2023-04-10,13.65,1.00050788
72,2023-04-06,13.65,1.00050788
73,2023-04-05,13.65,1.00050788
74,2023-04-04,13.65,1.00050788
75,2023-04-03,13.65,1.00050788
76,2023-03-31,13.65,1.00050788
77,2023-03-30,13.65,1.00050788
78,2023-03-29,13.65,1.00050788
79,2023-03-28,13.65,1.00050788
80,2023-03-27,13.65,1.00050788
81,2023-03-24,13.65,1.00050788
82,2023-03-23,13.65,1.00050788
83,2023-03-22,13.65,1.00050788
84,2023-03-21,13.65,1.00050788
85,2023-03-20,13.65,1.00050788
86,2023-03-17,13.65,1.00050788
87,2023-03-16,13.65,1.00050788
88,2023-03-15,13.65,1.00050788
89,2023-03-14,13.65,1.00050788
90,2023-03-13,13.65,1.00050788
91,2023-03-10,13.65,1.00050788
92,2023-03-09,13.65,1.00050788
93,2023-03-08,13.65,1.00050788
94,2023-03-07,13.65,1.00050788
95,2023-03-06,13.65,1.00050788
96,2023-03-03,13.65,1.00050788
97,2023-03-02,13.65,1.00050788
98,2023-03-01,13.65,1.00050788
99,2023-02-28,13.65,1.00050788
100,2023-02-27,13.65,1.00050788
101,2023-02-24,13.65,1.00050788
102,2023-02-23,13.65,1.00050788
103,2023-02-22,13.65,1.00050788
104,2023-02-17,13.65,1.00050788
105,2023-02-16,13.65,1.00050788
106,2023-02-15,13.65,1.00050788
107,2023-02-14,13.65,1.00050788
108,2023-02-13,13.65,1.00050788
109,2023-02-10,13.65,1.00050788
110,2023-02-09,13.65,1.00050788
111,2023-02-08,13.65,1.00050788
112,2023-02-07,13.65,1.00050788
113,2023-02-06,13.65,1.00050788
114,2023-02-03,13.65,1.00050788
115,2023-02-02,13.65,1.00050788
116,2023-02-01,13.65,1.00050788
117,2023-01-31,13.65,1.00050788
118,2023-01-30,13.65,1.00050788
119,2023-01-27,13.65,1.00050788
120,2023-01-26,13.65,1.00050788
121,2023-01-25,13.65,1.00050788
122,2023-01-24,13.65,1.00050788
123,2023-01-23,13.65,1.00050788
124,2023-01-20,13.65,1.00050788
125,2023-01-19,13.65,1.00050788
126,2023-01-18,13.65,1.00050788
127,2023-01-17,13.65,1.00050788
128,2023-01-16,13.65,1.00050788
